tAir_C,Wind,rh,rn,gs_mol_CO2,gs_mol_H2O,gs_ms,rsw
40,2,0.7,200,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,233.333333333333,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,266.666666666667,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,300,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,333.333333333333,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,366.666666666667,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,400,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,433.333333333333,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,466.666666666667,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
40,2,0.7,500,0.415519722449547,0.652365964245789,0.0168174055331519,59.4622040854468
